METRIC,BASE_VALUE,METRIC_PATH,ERROR_THRESHOLD,WARNING_THRESHOLD,METRIC_HEADER
systemResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CAverage%20Response%20Time%20%28ms%29,50,100,header
systemCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CCalls%20per%20Minute,50,100,header
systemErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CSystem%7CErrors%20per%20Minute,50,100,header
systemErrorPerc,Derived_Error2,systemCalls:systemErrors,50,100,header
timeclockResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CAverage%20Response%20Time%20%28ms%29,50,100,header
timeclockCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CCalls%20per%20Minute,50,100,header
timeclockErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CTimeClock%7CErrors%20per%20Minute,50,100,header
timeclockErrorPerc,Derived_Error2,timeclockCalls:timeclockErrors,50,100,header

remoteLoyaltyResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CAverage%20Response%20Time%20%28ms%29,50,100,header
remoteLoyaltyCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CCalls%20per%20Minute,50,100,header
remoteLoyaltyErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20LOYALTY-STAGE%7CErrors%20per%20Minute,50,100,header
remoteLoyaltyErrorPerc,Derived_Error2,remoteLoyaltyCalls:remoteLoyaltyErrors,50,100,header
remoteMappingResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CAverage%20Response%20Time%20%28ms%29,50,100,header
remoteMappingCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CCalls%20per%20Minute,50,100,header
remoteMappingErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Overall%20Application%20Performance%7CSERVER%7CExternal%20Calls%7CCall-HTTP%20to%20External%20Application%20-%20MAPPING-STAGING%7CErrors%20per%20Minute,50,100,header
remoteMappingErrorPerc,Derived_Error2,remoteMappingCalls:remoteMappingErrors,50,100,header
remoteProfanityResponseTime,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CAverage%20Response%20Time%20%28ms%29,50,100,header
remoteProfanityCalls,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CCalls%20per%20Minute,50,100,header
remoteProfanityErrors,1,https://papajohns-test.saas.appdynamics.com/controller/rest/applications/FOCUS/metric-data?metric-path=Backends%7CDiscovered%20backend%20call%20-%20languagefilter-qa.papajohns.com%3A443%7CErrors%20per%20Minute,50,100,header
remoteProfanityErrorPerc,Derived_Error2,remoteProfanityCalls:remoteProfanityErrors,50,100,header
